Date,Time,Group name, Quadrat size,Vegetation type,data entry,Quadrat #,Tallest tree,foliage cover,ground cover,litter depth,DBH,small trees,Latitude,Longitude,Shrub size,DBH>10,Acacia,Angophora,Araucaria,Banksia,Callitris,Casuarina,Eucalyptus,Lophostemon,Melaleuca,Syncarpia
3/07/2014,00:00:00 AM,blue,14x14m,Tall Open forest (Blackbutt_Satinay),Dominant Trees,,21.92,,,,,,,,,,,,,,,,TRUE,,,
3/07/2014,00:00:00 AM,blue,14x14m,Tall Open forest (Blackbutt_Satinay),Vegetation Assessment,1,,79.25,NA,4,,,,,,,,,,,,,,,,
3/07/2014,00:00:00 AM,blue,14x14m,Tall Open forest (Blackbutt_Satinay),Vegetation Assessment,2,,NA,NA,1.5,,,,,,,,,,,,,,,,
3/07/2014,00:00:00 AM,blue,14x14m,Tall Open forest (Blackbutt_Satinay),Vegetation Assessment,3,,NA,30,3,,,,,,,,,,,,,,,,
3/07/2014,00:00:00 AM,blue,14x14m,Tall Open forest (Blackbutt_Satinay),Vegetation Assessment,4,,NA,55,2,,,,,,,,,,,,,,,,
3/07/2014,00:00:00 AM,blue,14x14m,Tall Open forest (Blackbutt_Satinay),Shrubs,,,,,,,,,,NA,,,,,,,,,,,
3/07/2014,00:00:00 AM,blue,14x14m,Tall Open forest (Blackbutt_Satinay),Count small trees (trunk<10cms),,,,,,,NA,,,,,,,,,,,,,,
3/07/2014,00:00:00 AM,blue,14x14m,Tall Open forest (Blackbutt_Satinay),DBH when trunk >10cms,,,,,,245,,,,,Eucalyptus,,,,,,,,,,
3/07/2014,00:00:00 AM,blue,14x14m,Tall Open forest (Blackbutt_Satinay),DBH when trunk >10cms,,,,,,212,,,,,Eucalyptus,,,,,,,,,,
3/07/2014,01:00:00 AM,blue,14x14m,Tall Open forest (Blackbutt_Satinay),DBH when trunk >10cms,,,,,,36.5,,,,,Eucalyptus,,,,,,,,,,
3/07/2014,02:00:00 AM,blue,14x14m,Tall Open forest (Blackbutt_Satinay),DBH when trunk >10cms,,,,,,32,,,,,Monotoca,,,,,,,,,,
3/07/2014,00:00:00 AM,blue,14x14m,Tall Open forest (Blackbutt_Satinay),DBH when trunk >10cms,,,,,,30,,,,,Acacia,,,,,,,,,,
3/07/2014,00:00:00 AM,blue,14x14m,Tall Open forest (Blackbutt_Satinay),DBH when trunk >10cms,,,,,,11,,,,,Acacia,,,,,,,,,,
3/07/2014,00:00:00 AM,blue,14x14m,Tall Open forest (Blackbutt_Satinay),DBH when trunk >10cms,,,,,,112,,,,,Eucalyptus,,,,,,,,,,
3/07/2014,00:00:00 AM,blue,14x14m,Tall Open forest (Blackbutt_Satinay),DBH when trunk >10cms,,,,,,127,,,,,Eucalyptus,,,,,,,,,,
3/07/2014,00:00:00 AM,blue,14x14m,Tall Open forest (Blackbutt_Satinay),DBH when trunk >10cms,,,,,,67,,,,,Eucalyptus,,,,,,,,,,
3/07/2014,00:00:00 AM,blue,14x14m,Tall Open forest (Blackbutt_Satinay),DBH when trunk >10cms,,,,,,50,,,,,Eucalyptus,,,,,,,,,,
3/07/2014,01:00:00 AM,blue,14x14m,Tall Open forest (Blackbutt_Satinay),DBH when trunk >10cms,,,,,,12.5,,,,,Monotoca,,,,,,,,,,
3/07/2014,02:00:00 AM,blue,14x14m,Tall Open forest (Blackbutt_Satinay),DBH when trunk >10cms,,,,,,13,,,,,Monotoca,,,,,,,,,,
3/07/2014,00:00:00 AM,blue,14x14m,Tall Open forest (Blackbutt_Satinay),DBH when trunk >10cms,,,,,,18.5,,,,,Monotoca,,,,,,,,,,
3/07/2014,00:00:00 AM,blue,14x14m,Tall Open forest (Blackbutt_Satinay),DBH when trunk >10cms,,,,,,32,,,,,Banksia,,,,,,,,,,
3/07/2014,00:00:00 AM,blue,14x14m,Tall Open forest (Blackbutt_Satinay),DBH when trunk >10cms,,,,,,13.5,,,,,Banksia,,,,,,,,,,
2/07/2014,00:00:00 AM,yellow,10x10m,Foredunes,Dominant Trees,,6.25,,,,,,,,,,,,,TRUE,,,,,,
2/07/2014,00:00:00 AM,yellow,10x10m,Foredunes,Vegetation Assessment,1,,77,85,4,,,,,,,,,,,,,,,,
2/07/2014,00:00:00 AM,yellow,10x10m,Foredunes,Vegetation Assessment,2,,67,60,4,,,,,,,,,,,,,,,,
2/07/2014,00:00:00 AM,yellow,10x10m,Foredunes,Shrubs,,,,,,,,,,NA,,,,,,,,,,,
2/07/2014,00:00:00 AM,yellow,10x10m,Foredunes,Count small trees (trunk<10cms),,,,,,,NA,,,,,,,,,,,,,,
2/07/2014,00:00:00 AM,yellow,10x10m,Foredunes,DBH when trunk >10cms,,,,,,33,,,,,Casuarina,,,,,,,,,,
2/07/2014,00:00:00 AM,yellow,10x10m,Foredunes,DBH when trunk >10cms,,,,,,24,,,,,Casuarina,,,,,,,,,,
2/07/2014,01:00:00 AM,yellow,10x10m,Foredunes,DBH when trunk >10cms,,,,,,37,,,,,Casuarina,,,,,,,,,,
2/07/2014,02:00:00 AM,yellow,10x10m,Foredunes,DBH when trunk >10cms,,,,,,39,,,,,Casuarina,,,,,,,,,,
2/07/2014,00:00:00 AM,yellow,10x10m,Foredunes,DBH when trunk >10cms,,,,,,28,,,,,Casuarina,,,,,,,,,,
2/07/2014,00:00:00 AM,yellow,10x10m,Foredunes,DBH when trunk >10cms,,,,,,22,,,,,Casuarina,,,,,,,,,,
2/07/2014,00:00:00 AM,yellow,10x10m,Foredunes,DBH when trunk >10cms,,,,,,37,,,,,Casuarina,,,,,,,,,,
2/07/2014,00:00:00 AM,yellow,10x10m,Foredunes,DBH when trunk >10cms,,,,,,28,,,,,Banksia,,,,,,,,,,
2/07/2014,01:00:00 AM,yellow,10x10m,Foredunes,DBH when trunk >10cms,,,,,,14,,,,,Banksia,,,,,,,,,,
2/07/2014,02:00:00 AM,yellow,10x10m,Foredunes,DBH when trunk >10cms,,,,,,31,,,,,Banksia,,,,,,,,,,
2/07/2014,00:00:00 AM,yellow,10x10m,Foredunes,DBH when trunk >10cms,,,,,,29,,,,,Casuarina,,,,,,,,,,
2/07/2014,00:00:00 AM,yellow,10x10m,Foredunes,DBH when trunk >10cms,,,,,,41,,,,,Banksia,,,,,,,,,,
2/07/2014,00:00:00 AM,yellow,10x10m,Foredunes,DBH when trunk >10cms,,,,,,55,,,,,Banksia,,,,,,,,,,
2/07/2014,00:00:00 AM,yellow,10x10m,Foredunes,DBH when trunk >10cms,,,,,,48,,,,,Banksia,,,,,,,,,,
2/07/2014,01:00:00 AM,yellow,10x10m,Foredunes,DBH when trunk >10cms,,,,,,24,,,,,Banksia,,,,,,,,,,
2/07/2014,02:00:00 AM,yellow,10x10m,Foredunes,DBH when trunk >10cms,,,,,,30,,,,,Banksia,,,,,,,,,,
2/07/2014,00:00:00 AM,yellow,10x10m,Foredunes,DBH when trunk >10cms,,,,,,24,,,,,Casuarina ,,,,,,,,,,
2/07/2014,00:00:00 AM,yellow,10x10m,Foredunes,DBH when trunk >10cms,,,,,,21,,,,,Casuarina,,,,,,,,,,
2/07/2014,00:00:00 AM,yellow,10x10m,Foredunes,DBH when trunk >10cms,,,,,,22,,,,,Casuarina,,,,,,,,,,
2/07/2014,00:00:00 AM,yellow,10x10m,Foredunes,DBH when trunk >10cms,,,,,,33,,,,,Casuarina,,,,,,,,,,
2/07/2014,01:00:00 AM,yellow,10x10m,Foredunes,DBH when trunk >10cms,,,,,,30,,,,,Banksia,,,,,,,,,,
2/07/2014,02:00:00 AM,yellow,10x10m,Foredunes,DBH when trunk >10cms,,,,,,33,,,,,Wikstroemia,,,,,,,,,,
2/07/2014,00:00:00 AM,yellow,10x10m,Foredunes,DBH when trunk >10cms,,,,,,52,,,,,Banksia,,,,,,,,,,
2/07/2014,00:00:00 AM,yellow,10x10m,Foredunes,DBH when trunk >10cms,,,,,,43,,,,,Banksia,,,,,,,,,,
2/07/2014,00:00:00 AM,yellow,10x10m,Foredunes,DBH when trunk >10cms,,,,,,47,,,,,Banksia,,,,,,,,,,
2/07/2014,00:00:00 AM,yellow,10x10m,Foredunes,DBH when trunk >10cms,,,,,,54,,,,,Banksia,,,,,,,,,,
2/07/2014,01:00:00 AM,yellow,10x10m,Foredunes,DBH when trunk >10cms,,,,,,44,,,,,Banksia,,,,,,,,,,
4/07/2014,01:00:00 AM,green,10x10m,Low Open forest,Dominant Trees,,18.9,,,,,,,,,,,,,,,,,,,TRUE
4/07/2014,01:00:00 AM,green,10x10m,Low Open forest,Vegetation Assessment,1,,81.75,2,4.5,,,,,,,,,,,,,,,,
4/07/2014,01:00:00 AM,green,10x10m,Low Open forest,Vegetation Assessment,2,,84.75,17.5,0.3,,,,,,,,,,,,,,,,
4/07/2014,01:00:00 AM,green,10x10m,Low Open forest,Shrubs,,,,,,,,,,NA,,,,,,,,,,,
4/07/2014,01:00:00 AM,green,10x10m,Low Open forest,Count small trees (trunk<10cms),,,,,,,NA,,,,,,,,,,,,,,
4/07/2014,01:00:00 AM,green,10x10m,Low Open forest,DBH when trunk >10cms,,,,,,57,,,,,Banksia,,,,,,,,,,
4/07/2014,01:00:00 AM,green,10x10m,Low Open forest,DBH when trunk >10cms,,,,,,76,,,,,Banksia,,,,,,,,,,
4/07/2014,01:00:00 AM,green,10x10m,Low Open forest,DBH when trunk >10cms,,,,,,84,,,,,Banksia,,,,,,,,,,
4/07/2014,01:00:00 AM,green,10x10m,Low Open forest,DBH when trunk >10cms,,,,,,63,,,,,Banksia,,,,,,,,,,
4/07/2014,01:00:00 AM,green,10x10m,Low Open forest,DBH when trunk >10cms,,,,,,126,,,,,Banksia,,,,,,,,,,
4/07/2014,01:00:00 AM,green,10x10m,Low Open forest,DBH when trunk >10cms,,,,,,120,,,,,Banksia,,,,,,,,,,
4/07/2014,01:00:00 AM,green,10x10m,Low Open forest,DBH when trunk >10cms,,,,,,120,,,,,Allocausurina,,,,,,,,,,
4/07/2014,01:00:00 AM,green,10x10m,Low Open forest,DBH when trunk >10cms,,,,,,53,,,,,Allocausurina,,,,,,,,,,
4/07/2014,01:00:00 AM,green,10x10m,Low Open forest,DBH when trunk >10cms,,,,,,56,,,,,Allocausurina,,,,,,,,,,
4/07/2014,01:00:00 AM,green,10x10m,Low Open forest,DBH when trunk >10cms,,,,,,12,,,,,Allocausurina,,,,,,,,,,
4/07/2014,01:00:00 AM,green,10x10m,Low Open forest,DBH when trunk >10cms,,,,,,151,,,,,Eucalyptus,,,,,,,,,,
4/07/2014,01:00:00 AM,green,10x10m,Low Open forest,DBH when trunk >10cms,,,,,,52,,,,,Eucalyptus,,,,,,,,,,
4/07/2014,01:00:00 AM,green,10x10m,Low Open forest,DBH when trunk >10cms,,,,,,150,,,,,Eucalyptus,,,,,,,,,,
4/07/2014,01:00:00 AM,green,10x10m,Low Open forest,DBH when trunk >10cms,,,,,,86,,,,,Eucalyptus,,,,,,,,,,
4/07/2014,01:00:00 AM,green,10x10m,Low Open forest,DBH when trunk >10cms,,,,,,59,,,,,Allocausurina,,,,,,,,,,
4/07/2014,01:00:00 AM,green,10x10m,Low Open forest,DBH when trunk >10cms,,,,,,64,,,,,Allocausurina,,,,,,,,,,
4/07/2014,01:00:00 AM,green,10x10m,Low Open forest,DBH when trunk >10cms,,,,,,38,,,,,Allocausurina,,,,,,,,,,
4/07/2014,01:00:00 AM,green,10x10m,Low Open forest,DBH when trunk >10cms,,,,,,35,,,,,Allocausurina,,,,,,,,,,
4/07/2014,01:00:00 AM,green,10x10m,Low Open forest,DBH when trunk >10cms,,,,,,46,,,,,Allocausurina,,,,,,,,,,
4/07/2014,01:00:00 AM,green,10x10m,Low Open forest,DBH when trunk >10cms,,,,,,67,,,,,Allocausurina,,,,,,,,,,
4/07/2014,01:00:00 AM,green,10x10m,Low Open forest,DBH when trunk >10cms,,,,,,63,,,,,Allocausurina,,,,,,,,,,
4/07/2014,01:00:00 AM,green,10x10m,Low Open forest,DBH when trunk >10cms,,,,,,33,,,,,Allocausurina,,,,,,,,,,
4/07/2014,01:00:00 AM,green,10x10m,Low Open forest,DBH when trunk >10cms,,,,,,278,,,,,Syncarpia,,,,,,,,,,
4/07/2014,01:00:00 AM,green,10x10m,Low Open forest,DBH when trunk >10cms,,,,,,37.6,,,,,Syncarpia,,,,,,,,,,
4/07/2014,01:00:00 AM,green,10x10m,Low Open forest,DBH when trunk >10cms,,,,,,64,,,,,Syncarpia,,,,,,,,,,
4/07/2014,01:00:00 AM,green,10x10m,Low Open forest,DBH when trunk >10cms,,,,,,66,,,,,Syncarpia,,,,,,,,,,
4/07/2014,01:00:00 AM,green,10x10m,Low Open forest,DBH when trunk >10cms,,,,,,49,,,,,Banksia,,,,,,,,,,
4/07/2014,01:00:00 AM,green,10x10m,Low Open forest,DBH when trunk >10cms,,,,,,93,,,,,Banksia,,,,,,,,,,
4/07/2014,01:00:00 AM,green,10x10m,Low Open forest,DBH when trunk >10cms,,,,,,62,,,,,Banksia,,,,,,,,,,
4/07/2014,01:00:00 AM,green,10x10m,Low Open forest,DBH when trunk >10cms,,,,,,44,,,,,Banksia,,,,,,,,,,
5/07/2014,01:00:00 AM,red,10x10m,Wallum Heath,Dominant Trees,,40.3,,,,,,,,,,,,,,,,,,,TRUE
5/07/2014,01:00:00 AM,red,10x10m,Wallum Heath,Vegetation Assessment,1,,84,73,1.15,,,,,,,,,,,,,,,,
5/07/2014,01:00:00 AM,red,10x10m,Wallum Heath,Vegetation Assessment,2,,83,37.5,2.25,,,,,,,,,,,,,,,,
5/07/2014,01:00:00 AM,red,10x10m,Wallum Heath,Shrubs,,,,,,,,,,NA,,,,,,,,,,,
5/07/2014,01:00:00 AM,red,10x10m,Wallum Heath,Count small trees (trunk<10cms),,,,,,,NA,,,,,,,,,,,,,,
5/07/2014,01:00:00 AM,red,10x10m,Wallum Heath,DBH when trunk >10cms,,,,,,247,,,,,Myrtaceae,,,,,,,,,,
5/07/2014,01:00:00 AM,red,10x10m,Wallum Heath,DBH when trunk >10cms,,,,,,236,,,,,Myrtaceae,,,,,,,,,,
5/07/2014,01:00:00 AM,red,10x10m,Wallum Heath,DBH when trunk >10cms,,,,,,245,,,,,Myrtaceae,,,,,,,,,,
5/07/2014,01:00:00 AM,red,10x10m,Wallum Heath,DBH when trunk >10cms,,,,,,240,,,,,Myrtaceae,,,,,,,,,,
5/07/2014,01:00:00 AM,red,10x10m,Wallum Heath,DBH when trunk >10cms,,,,,,59,,,,,Myrtaceae,,,,,,,,,,
5/07/2014,01:00:00 AM,red,10x10m,Wallum Heath,DBH when trunk >10cms,,,,,,260,,,,,Myrtaceae,,,,,,,,,,
5/07/2014,01:00:00 AM,red,10x10m,Wallum Heath,DBH when trunk >10cms,,,,,,230,,,,,Myrtaceae,,,,,,,,,,
5/07/2014,01:00:00 AM,red,10x10m,Wallum Heath,DBH when trunk >10cms,,,,,,64,,,,,Myrtaceae,,,,,,,,,,
6/07/2014,01:00:00 AM,Blue 2,10x10m,Rainforest,Dominant Trees,,21,,,,,,,,,,TRUE,,,,,,,,,
6/07/2014,01:00:00 AM,Blue 2,10x10m,Rainforest,Vegetation Assessment,1,,87,NA,0.26,,,,,,,,,,,,,,,,
6/07/2014,01:00:00 AM,Blue 2,10x10m,Rainforest,Vegetation Assessment,2,,93,NA,2,,,,,,,,,,,,,,,,
6/07/2014,01:00:00 AM,Blue 2,10x10m,Rainforest,Vegetation Assessment,3,,73,NA,1.5,,,,,,,,,,,,,,,,
6/07/2014,01:00:00 AM,Blue 2,10x10m,Rainforest,Vegetation Assessment,4,,72,NA,1.25,,,,,,,,,,,,,,,,
6/07/2014,01:00:00 AM,Blue 2,10x10m,Rainforest,Shrubs,,,,,,,,,,NA,,,,,,,,,,,
6/07/2014,01:00:00 AM,Blue 2,10x10m,Rainforest,Count small trees (trunk<10cms),,,,,,,NA,,,,,,,,,,,,,,
6/07/2014,01:00:00 AM,Blue 2,10x10m,Rainforest,DBH when trunk >10cms,,,,,,,,,,1.37,Unknown,,,,,,,,,,
6/07/2014,01:00:00 AM,Blue 2,10x10m,Rainforest,DBH when trunk >10cms,,,,,,,,,,1.165,Unknown,,,,,,,,,,
6/07/2014,01:00:00 AM,Blue 2,10x10m,Rainforest,DBH when trunk >10cms,,,,,,,,,,0.455,Unknown,,,,,,,,,,
6/07/2014,01:00:00 AM,Blue 2,10x10m,Rainforest,DBH when trunk >10cms,,,,,,,,,,0.49,Unknown,,,,,,,,,,
6/07/2014,01:00:00 AM,Blue 2,10x10m,Rainforest,DBH when trunk >10cms,,,,,,,,,,1.4,Unknown,,,,,,,,,,
6/07/2014,01:00:00 AM,Blue 2,10x10m,Rainforest,DBH when trunk >10cms,,,,,,,,,,2,Unknown,,,,,,,,,,
6/07/2014,01:00:00 AM,Blue 2,10x10m,Rainforest,DBH when trunk >10cms,,,,,,,,,,0.58,Unknown,,,,,,,,,,
6/07/2014,01:00:00 AM,Blue 2,10x10m,Rainforest,DBH when trunk >10cms,,,,,,,,,,0.475,Unknown,,,,,,,,,,
6/07/2014,01:00:00 AM,Blue 2,10x10m,Rainforest,DBH when trunk >10cms,,,,,,,,,,6.27,Unknown,,,,,,,,,,
6/07/2014,01:00:00 AM,Blue 2,10x10m,Rainforest,DBH when trunk >10cms,,,,,,,,,,1.13,Unknown,,,,,,,,,,
6/07/2014,01:00:00 AM,Blue 2,10x10m,Rainforest,DBH when trunk >10cms,,,,,,,,,,0.38,Unknown,,,,,,,,,,
6/07/2014,01:00:00 AM,Blue 2,10x10m,Rainforest,DBH when trunk >10cms,,,,,,,,,,1.84,Unknown,,,,,,,,,,
6/07/2014,01:00:00 AM,Blue 2,10x10m,Rainforest,DBH when trunk >10cms,,,,,,,,,,0.6,Unknown,,,,,,,,,,
6/07/2014,01:00:00 AM,Blue 2,10x10m,Rainforest,DBH when trunk >10cms,,,,,,,,,,0.87,Unknown,,,,,,,,,,
6/07/2014,01:00:00 AM,Blue 2,10x10m,Rainforest,DBH when trunk >10cms,,,,,,,,,,0.54,Unknown,,,,,,,,,,
6/07/2014,01:00:00 AM,Blue 2,10x10m,Rainforest,DBH when trunk >10cms,,,,,,,,,,0.28,Unknown,,,,,,,,,,
6/07/2014,01:00:00 AM,Blue 2,10x10m,Rainforest,DBH when trunk >10cms,,,,,,,,,,0.77,Unknown,,,,,,,,,,
6/07/2014,01:00:00 AM,Blue 2,10x10m,Rainforest,DBH when trunk >10cms,,,,,,,,,,0.48,Unknown,,,,,,,,,,
6/07/2014,01:00:00 AM,Blue 2,10x10m,Rainforest,DBH when trunk >10cms,,,,,,,,,,0.41,Unknown,,,,,,,,,,
6/07/2014,01:00:00 AM,Blue 2,10x10m,Rainforest,DBH when trunk >10cms,,,,,,,,,,0.585,Unknown,,,,,,,,,,
6/07/2014,01:00:00 AM,Blue 2,10x10m,Rainforest,DBH when trunk >10cms,,,,,,,,,,0.657,Unknown,,,,,,,,,,
6/07/2014,01:00:00 AM,Blue 2,10x10m,Rainforest,DBH when trunk >10cms,,,,,,,,,,0.72,Unknown,,,,,,,,,,
6/07/2014,01:00:00 AM,Blue 2,10x10m,Rainforest,DBH when trunk >10cms,,,,,,,,,,0.42,Unknown,,,,,,,,,,
6/07/2014,01:00:00 AM,Blue 2,10x10m,Rainforest,DBH when trunk >10cms,,,,,,,,,,1.462,Unknown,,,,,,,,,,
6/07/2014,01:00:00 AM,Blue 2,10x10m,Rainforest,DBH when trunk >10cms,,,,,,,,,,0.403,Unknown,,,,,,,,,,
7/07/2014,01:00:00 AM,Yellow 2,10x10m,Rainforest,Dominant Trees,,30,,,,,,,,,,,TRUE,,,,,,,,
7/07/2014,01:00:00 AM,Yellow 2,10x10m,Rainforest,Vegetation Assessment,1,,NA,1,6,,,,,,,,,,,,,,,,
7/07/2014,01:00:00 AM,Yellow 2,10x10m,Rainforest,Vegetation Assessment,2,,NA,1,6,,,,,,,,,,,,,,,,
7/07/2014,01:00:00 AM,Yellow 2,10x10m,Rainforest,Vegetation Assessment,3,,NA,1,6,,,,,,,,,,,,,,,,
7/07/2014,01:00:00 AM,Yellow 2,10x10m,Rainforest,Vegetation Assessment,4,,NA,1,6,,,,,,,,,,,,,,,,
7/07/2014,01:00:00 AM,Yellow 2,10x10m,Rainforest,Shrubs,,,,,,,,,,NA,,,,,,,,,,,
7/07/2014,01:00:00 AM,Yellow 2,10x10m,Rainforest,Count small trees (trunk<10cms),,,,,,,NA,,,,,,,,,,,,,,
7/07/2014,01:00:00 AM,Yellow 2,10x10m,Rainforest,DBH when trunk >10cms,,,,,,68,,,,,Unknown,,,,,,,,,,
7/07/2014,01:00:00 AM,Yellow 2,10x10m,Rainforest,DBH when trunk >10cms,,,,,,38.5,,,,,Unknown,,,,,,,,,,
7/07/2014,01:00:00 AM,Yellow 2,10x10m,Rainforest,DBH when trunk >10cms,,,,,,38,,,,,Unknown,,,,,,,,,,
7/07/2014,01:00:00 AM,Yellow 2,10x10m,Rainforest,DBH when trunk >10cms,,,,,,57,,,,,Unknown,,,,,,,,,,
7/07/2014,01:00:00 AM,Yellow 2,10x10m,Rainforest,DBH when trunk >10cms,,,,,,56,,,,,Unknown,,,,,,,,,,
7/07/2014,01:00:00 AM,Yellow 2,10x10m,Rainforest,DBH when trunk >10cms,,,,,,77,,,,,Unknown,,,,,,,,,,
7/07/2014,01:00:00 AM,Yellow 2,10x10m,Rainforest,DBH when trunk >10cms,,,,,,81,,,,,Unknown,,,,,,,,,,
7/07/2014,01:00:00 AM,Yellow 2,10x10m,Rainforest,DBH when trunk >10cms,,,,,,30,,,,,Unknown,,,,,,,,,,
8/07/2014,01:00:00 AM,Red 2,10x10m,Rainforest,Dominant Trees,,36,,,,,,,,,,,,TRUE,,,,,,,
8/07/2014,01:00:00 AM,Red 2,10x10m,Rainforest,Vegetation Assessment,1,,76,100,0.65,,,,,,,,,,,,,,,,
8/07/2014,01:00:00 AM,Red 2,10x10m,Rainforest,Vegetation Assessment,2,,74,95,1,,,,,,,,,,,,,,,,
8/07/2014,01:00:00 AM,Red 2,10x10m,Rainforest,Vegetation Assessment,3,,65,100,3.5,,,,,,,,,,,,,,,,
8/07/2014,01:00:00 AM,Red 2,10x10m,Rainforest,Vegetation Assessment,4,,67.5,95,2,,,,,,,,,,,,,,,,
8/07/2014,01:00:00 AM,Red 2,10x10m,Rainforest,Shrubs,,,,,,,,,,NA,,,,,,,,,,,
8/07/2014,01:00:00 AM,Red 2,10x10m,Rainforest,Count small trees (trunk<10cms),,,,,,,NA,,,,,,,,,,,,,,
8/07/2014,01:00:00 AM,Red 2,10x10m,Rainforest,DBH when trunk >10cms,,,,,,38,,,,,Unknown,,,,,,,,,,
,,,,,,,,,,,38,,,,,Unknown,,,,,,,,,,
,,,,,,,,,,,70,,,,,Unknown,,,,,,,,,,
,,,,,,,,,,,104,,,,,Unknown,,,,,,,,,,
,,,,,,,,,,,113,,,,,Unknown,,,,,,,,,,
,,,,,,,,,,,145,,,,,Unknown,,,,,,,,,,
,,,,,,,,,,,32,,,,,Unknown,,,,,,,,,,
,,,,,,,,,,,230,,,,,Unknown,,,,,,,,,,
,,,,,,,,,,,127,,,,,Unknown,,,,,,,,,,
,,,,,,,,,,,76,,,,,Unknown,,,,,,,,,,
,,,,,,,,,,,58,,,,,Unknown,,,,,,,,,,
,,,,,,,,,,,42,,,,,Unknown,,,,,,,,,,
,,,,,,,,,,,41,,,,,Unknown,,,,,,,,,,
,,,,,,,,,,,107,,,,,Unknown,,,,,,,,,,
,,,,,,,,,,,38,,,,,Unknown,,,,,,,,,,
,,,,,,,,,,,106,,,,,Unknown,,,,,,,,,,
,,,,,,,,,,,55,,,,,Unknown,,,,,,,,,,
,,,,,,,,,,,73,,,,,Unknown,,,,,,,,,,
,,,,,,,,,,,71,,,,,Unknown,,,,,,,,,,
,,,,,,,,,,,130,,,,,Unknown,,,,,,,,,,
,,,,,,,,,,,37,,,,,Unknown,,,,,,,,,,
,,,,,,,,,,,32,,,,,Unknown,,,,,,,,,,
,,,,,,,,,,,74,,,,,Unknown,,,,,,,,,,
,,,,,,,,,,,65,,,,,Unknown,,,,,,,,,,
,,,,,,,,,,,33,,,,,Unknown,,,,,,,,,,
,,,,,,,,,,,45,,,,,Unknown,,,,,,,,,,
,,,,,,,,,,,113,,,,,Unknown,,,,,,,,,,
